LSOA11CD,total_length_meters_2011,length_meters_2020
E01002938,149.6,149.6
E01002944,62.2,535.4
E01002946,17.4,225.0
E01002948,1564.1,5304.9
E01002955,543.5,2859.5
E01002958,258.5,262.1
E01002963,362.0,400.9
E01002964,251.3,911.9
E01002965,121.2,1231.6
E01002966,153.5,66.7
E01002968,805.5,3202.4
E01002971,418.4,381.8
E01002975,355.7,0.8
E01002976,17.0,26.7
E01002977,420.7,175.6
E01002981,147.5,343.0
E01002986,175.2,157.7
E01002989,11.8,217.9
E01002992,179.1,249.0
E01002995,79.3,368.9
E01002999,45.9,15.1
E01003000,565.9,1331.5
E01003001,55.7,187.8
E01003006,883.3,1669.7
E01003010,348.9,936.0
E01003011,532.2,791.1
E01003013,862.6,2144.4
E01003014,306.4,468.1
E01003015,44.8,92.3
E01003016,356.5,585.4
E01003017,7.2,51.8
E01003018,0.6,4.0
E01003019,161.9,114.6
E01003020,34.3,34.4
E01003021,31.9,5.0
E01003026,439.6,1516.5
E01003029,32.6,70.7
E01003030,65.7,416.9
E01003031,186.6,183.4
E01003034,33.2,31.5
E01003036,162.8,26.8
E01003038,81.1,0
E01003046,166.4,368.2
E01003047,5.0,0
E01003053,29.1,26.1
E01003057,17.3,0
E01003061,207.7,126.0
E01003063,58.7,0
E01003074,3442.7,4106.7
E01003091,242.9,0
E01003092,18.0,139.9
E01003095,89.7,0
E01003096,52.3,51.4
E01003099,30.6,3082.1
E01003101,238.3,23.9
E01003109,108.9,1700.3
E01003112,75.2,432.2
E01003113,5.1,0.4
E01003114,129.0,167.8
E01003118,12.3,57.8
E01003119,31.3,213.1
E01003123,8.2,91.6
E01003126,55.8,251.7
E01003127,7.4,55.1
E01003128,3.3,19.9
E01003133,8.4,29.5
E01003137,15.1,37.2
E01003145,196.9,0
E01003152,9.5,12.3
E01003161,13.5,38.5
E01003169,59.5,33.5
E01003172,81.6,155.4
E01003174,1.2,195.1
E01003176,11.7,24.6
E01003177,56.6,0
E01003183,55.8,169.6
E01003184,4.0,0
E01003185,43.6,19.0
E01003186,2.9,4.0
E01003190,349.4,187.8
E01003192,40.0,705.3
E01003193,622.2,678.3
E01003194,1021.3,1022.2
E01003195,482.9,527.8
E01003197,20.1,8.9
E01003200,334.0,2431.4
E01003204,128.3,0
E01003207,57.9,183.7
E01003209,11.4,54.7
E01003215,396.1,297.3
E01003225,180.2,516.2
E01003226,29.9,18.1
E01003228,23.7,11.2
E01003229,7.6,7.6
E01003231,71.9,5.9
E01003232,98.6,178.7
E01003233,20.2,46.5
E01003235,659.6,695.5
E01003241,343.1,334.3
E01003243,680.4,694.3
E01003244,2.3,60.6
E01003245,314.2,387.6
E01003246,326.1,759.1
E01003247,218.0,240.4
E01003248,249.5,399.4
E01003249,565.8,743.3
E01003254,403.0,657.0
E01003263,227.6,203.0
E01003272,26.5,26.5
E01003273,30.6,755.3
E01003279,14.7,50.5
E01003291,378.7,700.7
E01003296,982.8,1175.4
E01003297,1505.4,2088.4
E01003298,238.4,238.3
E01003299,98.3,55.3
E01003300,261.6,297.7
E01003301,61.1,47.9
E01003302,28.6,14.1
E01003303,627.0,1489.5
E01003304,378.8,834.7
E01003305,9.2,101.7
E01003310,15.7,90.4
E01003315,254.4,258.9
E01003317,1008.0,1438.8
E01003318,151.4,380.6
